1779959446.216646 server started (21110): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779959446.216673 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779959446.216680 using libevent 2.1.12-stable poll
1779959446.216682 using ncurses 6.4 20240113
1779959446.232087 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1779959446.232092 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1779959446.232094 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1779959446.232095 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1779959446.232097 cmd_parse_build_commands 0:3 0:28: 
1779959446.232099 cmd_parse_build_commands 0:3 0:29: New After
1779959446.232101 cmd_parse_build_commands 0:3 0:30: w
1779959446.232103 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1779959446.232105 cmd_parse_build_commands 0:3 0:31 0:1: -a
1779959446.232107 cmd_parse_build_commands 0:3 0:32: New At End
1779959446.232109 cmd_parse_build_commands 0:3 0:33: W
1779959446.232111 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1779959446.232114 cmd_parse_build_commands 0:0: display-menu
1779959446.232115 cmd_parse_build_commands 0:1: -t=
1779959446.232117 cmd_parse_build_commands 0:2: -xW
1779959446.232119 cmd_parse_build_commands 0:3: -yW
1779959446.232121 cmd_parse_build_commands 0:4: -T
1779959446.232123 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1779959446.232125 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.232126 cmd_parse_build_commands 0:7: l
1779959446.232128 cmd_parse_build_commands 0:8 0:0: swap-window
1779959446.232130 cmd_parse_build_commands 0:8 0:1: -t:-1
1779959446.232132 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1779959446.232134 cmd_parse_build_commands 0:10: r
1779959446.232136 cmd_parse_build_commands 0:11 0:0: swap-window
1779959446.232138 cmd_parse_build_commands 0:11 0:1: -t:+1
1779959446.232140 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1779959446.232142 cmd_parse_build_commands 0:13: s
1779959446.232143 cmd_parse_build_commands 0:14 0:0: swap-window
1779959446.232145 cmd_parse_build_commands 0:15: 
1779959446.232150 cmd_parse_build_commands 0:16: Kill
1779959446.232152 cmd_parse_build_commands 0:17: X
1779959446.232154 cmd_parse_build_commands 0:18 0:0: kill-window
1779959446.232156 cmd_parse_build_commands 0:19: Respawn
1779959446.232157 cmd_parse_build_commands 0:20: R
1779959446.232159 cmd_parse_build_commands 0:21 0:0: respawn-window
1779959446.232161 cmd_parse_build_commands 0:21 0:1: -k
1779959446.232163 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1779959446.232165 cmd_parse_build_commands 0:23: m
1779959446.232167 cmd_parse_build_commands 0:24 0:0: select-pane
1779959446.232168 cmd_parse_build_commands 0:24 0:1: -m
1779959446.232170 cmd_parse_build_commands 0:25: Rename
1779959446.232172 cmd_parse_build_commands 0:26: n
1779959446.232174 cmd_parse_build_commands 0:27 0:0: command-prompt
1779959446.232176 cmd_parse_build_commands 0:27 0:1: -FI
1779959446.232178 cmd_parse_build_commands 0:27 0:2: #W
1779959446.232180 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1779959446.232182 cmd_parse_build_commands 0:27 0:3 0:1: -t
1779959446.232183 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1779959446.232190 cmd_parse_build_commands 0:27 0:3 0:3: --
1779959446.232192 cmd_parse_build_commands 0:27 0:3 0:4: %%
1779959446.232194 cmd_parse_build_commands 0:28: 
1779959446.232196 cmd_parse_build_commands 0:29: New After
1779959446.232197 cmd_parse_build_commands 0:30: w
1779959446.232199 cmd_parse_build_commands 0:31 0:0: new-window
1779959446.232201 cmd_parse_build_commands 0:31 0:1: -a
1779959446.232203 cmd_parse_build_commands 0:32: New At End
1779959446.232205 cmd_parse_build_commands 0:33: W
1779959446.232209 cmd_parse_build_commands 0:34 0:0: new-window
1779959446.232212 cmd_parse_build_commands 0:0: swap-window
1779959446.232214 cmd_parse_build_commands 0:1: -t:-1
1779959446.232218 args_parse_flags: next -t:-1
1779959446.232219 args_parse_flag_argument: -t = :-1
1779959446.232221 args_parse: flags end at 2 of 2
1779959446.232225 cmd_parse_build_commands: swap-window -t :-1
1779959446.232227 cmd_parse_build_commands 0:0: swap-window
1779959446.232229 cmd_parse_build_commands 0:1: -t:+1
1779959446.232232 args_parse_flags: next -t:+1
1779959446.232234 args_parse_flag_argument: -t = :+1
1779959446.232235 args_parse: flags end at 2 of 2
1779959446.232238 cmd_parse_build_commands: swap-window -t :+1
1779959446.232240 cmd_parse_build_commands 0:0: swap-window
1779959446.232244 args_parse: flags end at 1 of 1
1779959446.232246 cmd_parse_build_commands: swap-window
1779959446.232248 cmd_parse_build_commands 0:0: kill-window
1779959446.232250 args_parse: flags end at 1 of 1
1779959446.232252 cmd_parse_build_commands: kill-window
1779959446.232255 cmd_parse_build_commands 0:0: respawn-window
1779959446.232256 cmd_parse_build_commands 0:1: -k
1779959446.232259 args_parse_flags: next -k
1779959446.232261 args_parse_flags: -k
1779959446.232263 args_parse: flags end at 2 of 2
1779959446.232272 cmd_parse_build_commands: respawn-window -k
1779959446.232274 cmd_parse_build_commands 0:0: select-pane
1779959446.232276 cmd_parse_build_commands 0:1: -m
1779959446.232279 args_parse_flags: next -m
1779959446.232281 args_parse_flags: -m
1779959446.232282 args_parse: flags end at 2 of 2
1779959446.232285 cmd_parse_build_commands: select-pane -m
1779959446.232292 cmd_parse_build_commands 0:0: command-prompt
1779959446.232293 cmd_parse_build_commands 0:1: -FI
1779959446.232295 cmd_parse_build_commands 0:2: #W
1779959446.232297 cmd_parse_build_commands 0:3 0:0: rename-window
1779959446.232299 cmd_parse_build_commands 0:3 0:1: -t
1779959446.232301 cmd_parse_build_commands 0:3 0:2: #{window_id}
1779959446.232303 cmd_parse_build_commands 0:3 0:3: --
1779959446.232304 cmd_parse_build_commands 0:3 0:4: %%
1779959446.232307 cmd_parse_build_commands 0:0: rename-window
1779959446.232309 cmd_parse_build_commands 0:1: -t
1779959446.232310 cmd_parse_build_commands 0:2: #{window_id}
1779959446.232312 cmd_parse_build_commands 0:3: --
1779959446.232314 cmd_parse_build_commands 0:4: %%
1779959446.232317 args_parse_flags: next -t
1779959446.232319 args_parse_flag_argument: -t = #{window_id}
1779959446.232321 args_parse_flags: next --
1779959446.232323 args_parse: flags end at 4 of 5
1779959446.232325 args_parse: 4 = %% (type STRING)
1779959446.232329 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1779959446.232331 args_parse_flags: next -FI
1779959446.232332 args_parse_flags: -F
1779959446.232334 args_parse_flag_argument: -I = #W
1779959446.232336 args_parse: flags end at 3 of 4
1779959446.232340 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1779959446.232345 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1779959446.232349 cmd_parse_build_commands 0:0: new-window
1779959446.232351 cmd_parse_build_commands 0:1: -a
1779959446.232354 args_parse_flags: next -a
1779959446.232355 args_parse_flags: -a
1779959446.232357 args_parse: flags end at 2 of 2
1779959446.232360 cmd_parse_build_commands: new-window -a
1779959446.232363 cmd_parse_build_commands 0:0: new-window
1779959446.232366 args_parse: flags end at 1 of 1
1779959446.232371 cmd_parse_build_commands: new-window
1779959446.232373 args_parse_flags: next -t=
1779959446.232375 args_parse_flag_argument: -t = =
1779959446.232377 args_parse_flags: next -xW
1779959446.232378 args_parse_flag_argument: -x = W
1779959446.232380 args_parse_flags: next -yW
1779959446.232382 args_parse_flag_argument: -y = W
1779959446.232384 args_parse_flags: next -T
1779959446.232386 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1779959446.232388 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.232390 args_parse: flags end at 6 of 35
1779959446.232392 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1779959446.232394 args_parse: 7 = l (type STRING)
1779959446.232397 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1779959446.232400 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1779959446.232402 args_parse: 10 = r (type STRING)
1779959446.232405 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1779959446.232407 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1779959446.232409 args_parse: 13 = s (type STRING)
1779959446.232412 args_parse: 14 = swap-window (type COMMANDS)
1779959446.232414 args_parse: 15 =  (type STRING)
1779959446.232417 args_parse: 16 = Kill (type STRING)
1779959446.232420 args_parse: 17 = X (type STRING)
1779959446.232424 args_parse: 18 = kill-window (type COMMANDS)
1779959446.232428 args_parse: 19 = Respawn (type STRING)
1779959446.232432 args_parse: 20 = R (type STRING)
1779959446.232438 args_parse: 21 = respawn-window -k (type COMMANDS)
1779959446.232441 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1779959446.232444 args_parse: 23 = m (type STRING)
1779959446.232448 args_parse: 24 = select-pane -m (type COMMANDS)
1779959446.232451 args_parse: 25 = Rename (type STRING)
1779959446.232454 args_parse: 26 = n (type STRING)
1779959446.232461 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1779959446.232464 args_parse: 28 =  (type STRING)
1779959446.232467 args_parse: 29 = New After (type STRING)
1779959446.232470 args_parse: 30 = w (type STRING)
1779959446.232473 args_parse: 31 = new-window -a (type COMMANDS)
1779959446.232477 args_parse: 32 = New At End (type STRING)
1779959446.232481 args_parse: 33 = W (type STRING)
1779959446.232484 args_parse: 34 = new-window (type COMMANDS)
1779959446.232527 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1779959446.232531 args_parse_flags: next -n
1779959446.232533 args_parse_flags: -n
1779959446.232536 args_parse_flags: next MouseDown3Status
1779959446.232538 args_parse: flags end at 2 of 4
1779959446.232541 args_parse: 2 = MouseDown3Status (type STRING)
1779959446.232576 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1779959446.232624 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1779959446.232639 cmdq_get_command: [bind-key/0x647b21e94220] group 1022
1779959446.232643 cmdq_append <global>: [bind-key/0x647b21e94220]
1779959446.232654 yylex_token: end at WS
1779959446.232658 yylex_token: bind
1779959446.232661 yylex_token: end at WS
1779959446.232663 yylex_token: -n
1779959446.232667 yylex_token: end at WS
1779959446.232669 yylex_token: M-MouseDown3Status
1779959446.232672 yylex_token: end at WS
1779959446.232675 yylex_token: display-menu
1779959446.232677 yylex_token: end at WS
1779959446.232680 yylex_token: -t=
1779959446.232682 yylex_token: end at WS
1779959446.232685 yylex_token: -xW
1779959446.232688 yylex_token: end at WS
1779959446.232690 yylex_token: -yW
1779959446.232693 yylex_token: end at WS
1779959446.232695 yylex_token: -T
1779959446.232736 yylex_token: end at WS
1779959446.232744 yylex_token: #[align=centre]#{window_index}:#{window_name}
1779959446.232747 yylex_token: end at WS
1779959446.232749 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.232751 yylex_token: end at WS
1779959446.232752 yylex_token: l
1779959446.232754 yylex_token: end at WS
1779959446.232756 yylex_token: swap-window
1779959446.232758 yylex_token: end at }
1779959446.232760 yylex_token: -t:-1
1779959446.232763 yylex_token: end at WS
1779959446.232765 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1779959446.232767 yylex_token: end at WS
1779959446.232769 yylex_token: r
1779959446.232771 yylex_token: end at WS
1779959446.232772 yylex_token: swap-window
1779959446.232774 yylex_token: end at }
1779959446.232776 yylex_token: -t:+1
1779959446.232779 yylex_token: end at WS
1779959446.232781 yylex_token: #{?pane_marked_set,,-}Swap Marked
1779959446.232782 yylex_token: end at WS
1779959446.232784 yylex_token: s
1779959446.232786 yylex_token: end at }
1779959446.232788 yylex_token: swap-window
1779959446.232790 yylex_token: end at WS
1779959446.232791 yylex_token: 
1779959446.232793 yylex_token: end at WS
1779959446.232795 yylex_token: Kill
1779959446.232797 yylex_token: end at WS
1779959446.232798 yylex_token: X
1779959446.232800 yylex_token: end at }
1779959446.232802 yylex_token: kill-window
1779959446.232804 yylex_token: end at WS
1779959446.232806 yylex_token: Respawn
1779959446.232807 yylex_token: end at WS
1779959446.232809 yylex_token: R
1779959446.232811 yylex_token: end at WS
1779959446.232813 yylex_token: respawn-window
1779959446.232815 yylex_token: end at }
1779959446.232816 yylex_token: -k
1779959446.232819 yylex_token: end at WS
1779959446.232821 yylex_token: #{?pane_marked,Unmark,Mark}
1779959446.232823 yylex_token: end at WS
1779959446.232824 yylex_token: m
1779959446.232826 yylex_token: end at WS
1779959446.232828 yylex_token: select-pane
1779959446.232830 yylex_token: end at }
1779959446.232831 yylex_token: -m
1779959446.232833 yylex_token: end at WS
1779959446.232835 yylex_token: Rename
1779959446.232837 yylex_token: end at WS
1779959446.232838 yylex_token: n
1779959446.232840 yylex_token: end at WS
1779959446.232842 yylex_token: command-prompt
1779959446.232844 yylex_token: end at WS
1779959446.232846 yylex_token: -FI
1779959446.232847 yylex_token: end at WS
1779959446.232849 yylex_token: #W
1779959446.232851 yylex_token: end at WS
1779959446.232853 yylex_token: rename-window
1779959446.232855 yylex_token: end at WS
1779959446.232856 yylex_token: -t
1779959446.232858 yylex_token: end at WS
1779959446.232860 yylex_token: #{window_id}
1779959446.232862 yylex_token: end at WS
1779959446.232863 yylex_token: --
1779959446.232865 yylex_token: end at }
1779959446.232867 yylex_token: %%
1779959446.232869 yylex_token: end at WS
1779959446.232871 yylex_token: 
1779959446.232873 yylex_token: end at WS
1779959446.232875 yylex_token: New After
1779959446.232881 yylex_token: end at WS
1779959446.232882 yylex_token: w
1779959446.232884 yylex_token: end at WS
1779959446.232886 yylex_token: new-window
1779959446.232888 yylex_token: end at }
1779959446.232889 yylex_token: -a
1779959446.232892 yylex_token: end at WS
1779959446.232893 yylex_token: New At End
1779959446.232895 yylex_token: end at WS
1779959446.232897 yylex_token: W
1779959446.232899 yylex_token: end at }
1779959446.232900 yylex_token: new-window
1779959446.232904 cmd_parse_build_commands 0:0: bind
1779959446.232906 cmd_parse_build_commands 0:1: -n
1779959446.232908 cmd_parse_build_commands 0:2: M-MouseDown3Status
1779959446.232910 cmd_parse_build_commands 0:3 0:0: display-menu
1779959446.232912 cmd_parse_build_commands 0:3 0:1: -t=
1779959446.232914 cmd_parse_build_commands 0:3 0:2: -xW
1779959446.232915 cmd_parse_build_commands 0:3 0:3: -yW
1779959446.232917 cmd_parse_build_commands 0:3 0:4: -T
1779959446.232919 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1779959446.232921 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.232923 cmd_parse_build_commands 0:3 0:7: l
1779959446.232925 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1779959446.232927 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1779959446.232930 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1779959446.232931 cmd_parse_build_commands 0:3 0:10: r
1779959446.232933 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1779959446.232935 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1779959446.232937 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1779959446.232939 cmd_parse_build_commands 0:3 0:13: s
1779959446.232941 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1779959446.232943 cmd_parse_build_commands 0:3 0:15: 
1779959446.232945 cmd_parse_build_commands 0:3 0:16: Kill
1779959446.232947 cmd_parse_build_commands 0:3 0:17: X
1779959446.232949 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1779959446.232950 cmd_parse_build_commands 0:3 0:19: Respawn
1779959446.232952 cmd_parse_build_commands 0:3 0:20: R
1779959446.232954 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1779959446.232956 cmd_parse_build_commands 0:3 0:21 0:1: -k
1779959446.232958 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1779959446.232960 cmd_parse_build_commands 0:3 0:23: m
1779959446.232962 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1779959446.232964 cmd_parse_build_commands 0:3 0:24 0:1: -m
1779959446.232965 cmd_parse_build_commands 0:3 0:25: Rename
1779959446.232967 cmd_parse_build_commands 0:3 0:26: n
1779959446.232969 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1779959446.232971 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1779959446.232973 cmd_parse_build_commands 0:3 0:27 0:2: #W
1779959446.232975 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1779959446.232977 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1779959446.232982 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1779959446.232984 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1779959446.232986 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1779959446.232987 cmd_parse_build_commands 0:3 0:28: 
1779959446.232989 cmd_parse_build_commands 0:3 0:29: New After
1779959446.232991 cmd_parse_build_commands 0:3 0:30: w
1779959446.232993 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1779959446.232995 cmd_parse_build_commands 0:3 0:31 0:1: -a
1779959446.232997 cmd_parse_build_commands 0:3 0:32: New At End
1779959446.232998 cmd_parse_build_commands 0:3 0:33: W
1779959446.233000 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1779959446.233004 cmd_parse_build_commands 0:0: display-menu
1779959446.233006 cmd_parse_build_commands 0:1: -t=
1779959446.233008 cmd_parse_build_commands 0:2: -xW
1779959446.233009 cmd_parse_build_commands 0:3: -yW
1779959446.233011 cmd_parse_build_commands 0:4: -T
1779959446.233013 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1779959446.233015 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.233020 cmd_parse_build_commands 0:7: l
1779959446.233022 cmd_parse_build_commands 0:8 0:0: swap-window
1779959446.233024 cmd_parse_build_commands 0:8 0:1: -t:-1
1779959446.233026 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1779959446.233028 cmd_parse_build_commands 0:10: r
1779959446.233030 cmd_parse_build_commands 0:11 0:0: swap-window
1779959446.233032 cmd_parse_build_commands 0:11 0:1: -t:+1
1779959446.233034 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1779959446.233035 cmd_parse_build_commands 0:13: s
1779959446.233037 cmd_parse_build_commands 0:14 0:0: swap-window
1779959446.233039 cmd_parse_build_commands 0:15: 
1779959446.233044 cmd_parse_build_commands 0:16: Kill
1779959446.233045 cmd_parse_build_commands 0:17: X
1779959446.233047 cmd_parse_build_commands 0:18 0:0: kill-window
1779959446.233049 cmd_parse_build_commands 0:19: Respawn
1779959446.233051 cmd_parse_build_commands 0:20: R
1779959446.233053 cmd_parse_build_commands 0:21 0:0: respawn-window
1779959446.233055 cmd_parse_build_commands 0:21 0:1: -k
1779959446.233057 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1779959446.233058 cmd_parse_build_commands 0:23: m
1779959446.233060 cmd_parse_build_commands 0:24 0:0: select-pane
1779959446.233062 cmd_parse_build_commands 0:24 0:1: -m
1779959446.233064 cmd_parse_build_commands 0:25: Rename
1779959446.233066 cmd_parse_build_commands 0:26: n
1779959446.233068 cmd_parse_build_commands 0:27 0:0: command-prompt
1779959446.233069 cmd_parse_build_commands 0:27 0:1: -FI
1779959446.233071 cmd_parse_build_commands 0:27 0:2: #W
1779959446.233073 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1779959446.233075 cmd_parse_build_commands 0:27 0:3 0:1: -t
1779959446.233077 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1779959446.233079 cmd_parse_build_commands 0:27 0:3 0:3: --
1779959446.233081 cmd_parse_build_commands 0:27 0:3 0:4: %%
1779959446.233082 cmd_parse_build_commands 0:28: 
1779959446.233084 cmd_parse_build_commands 0:29: New After
1779959446.233086 cmd_parse_build_commands 0:30: w
1779959446.233088 cmd_parse_build_commands 0:31 0:0: new-window
1779959446.233090 cmd_parse_build_commands 0:31 0:1: -a
1779959446.233092 cmd_parse_build_commands 0:32: New At End
1779959446.233093 cmd_parse_build_commands 0:33: W
1779959446.233098 cmd_parse_build_commands 0:34 0:0: new-window
1779959446.233101 cmd_parse_build_commands 0:0: swap-window
1779959446.233103 cmd_parse_build_commands 0:1: -t:-1
1779959446.233107 args_parse_flags: next -t:-1
1779959446.233109 args_parse_flag_argument: -t = :-1
1779959446.233111 args_parse: flags end at 2 of 2
1779959446.233115 cmd_parse_build_commands: swap-window -t :-1
1779959446.233117 cmd_parse_build_commands 0:0: swap-window
1779959446.233119 cmd_parse_build_commands 0:1: -t:+1
1779959446.233122 args_parse_flags: next -t:+1
1779959446.233124 args_parse_flag_argument: -t = :+1
1779959446.233125 args_parse: flags end at 2 of 2
1779959446.233128 cmd_parse_build_commands: swap-window -t :+1
1779959446.233130 cmd_parse_build_commands 0:0: swap-window
1779959446.233134 args_parse: flags end at 1 of 1
1779959446.233136 cmd_parse_build_commands: swap-window
1779959446.233139 cmd_parse_build_commands 0:0: kill-window
1779959446.233141 args_parse: flags end at 1 of 1
1779959446.233143 cmd_parse_build_commands: kill-window
1779959446.233146 cmd_parse_build_commands 0:0: respawn-window
1779959446.233147 cmd_parse_build_commands 0:1: -k
1779959446.233150 args_parse_flags: next -k
1779959446.233152 args_parse_flags: -k
1779959446.233154 args_parse: flags end at 2 of 2
1779959446.233156 cmd_parse_build_commands: respawn-window -k
1779959446.233158 cmd_parse_build_commands 0:0: select-pane
1779959446.233160 cmd_parse_build_commands 0:1: -m
1779959446.233163 args_parse_flags: next -m
1779959446.233165 args_parse_flags: -m
1779959446.233166 args_parse: flags end at 2 of 2
1779959446.233169 cmd_parse_build_commands: select-pane -m
1779959446.233175 cmd_parse_build_commands 0:0: command-prompt
1779959446.233180 cmd_parse_build_commands 0:1: -FI
1779959446.233182 cmd_parse_build_commands 0:2: #W
1779959446.233184 cmd_parse_build_commands 0:3 0:0: rename-window
1779959446.233186 cmd_parse_build_commands 0:3 0:1: -t
1779959446.233188 cmd_parse_build_commands 0:3 0:2: #{window_id}
1779959446.233190 cmd_parse_build_commands 0:3 0:3: --
1779959446.233191 cmd_parse_build_commands 0:3 0:4: %%
1779959446.233194 cmd_parse_build_commands 0:0: rename-window
1779959446.233196 cmd_parse_build_commands 0:1: -t
1779959446.233197 cmd_parse_build_commands 0:2: #{window_id}
1779959446.233199 cmd_parse_build_commands 0:3: --
1779959446.233201 cmd_parse_build_commands 0:4: %%
1779959446.233204 args_parse_flags: next -t
1779959446.233206 args_parse_flag_argument: -t = #{window_id}
1779959446.233208 args_parse_flags: next --
1779959446.233210 args_parse: flags end at 4 of 5
1779959446.233212 args_parse: 4 = %% (type STRING)
1779959446.233216 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1779959446.233218 args_parse_flags: next -FI
1779959446.233220 args_parse_flags: -F
1779959446.233221 args_parse_flag_argument: -I = #W
1779959446.233223 args_parse: flags end at 3 of 4
1779959446.233227 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1779959446.233232 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1779959446.233236 cmd_parse_build_commands 0:0: new-window
1779959446.233238 cmd_parse_build_commands 0:1: -a
1779959446.233241 args_parse_flags: next -a
1779959446.233242 args_parse_flags: -a
1779959446.233244 args_parse: flags end at 2 of 2
1779959446.233247 cmd_parse_build_commands: new-window -a
1779959446.233250 cmd_parse_build_commands 0:0: new-window
1779959446.233253 args_parse: flags end at 1 of 1
1779959446.233255 cmd_parse_build_commands: new-window
1779959446.233257 args_parse_flags: next -t=
1779959446.233259 args_parse_flag_argument: -t = =
1779959446.233261 args_parse_flags: next -xW
1779959446.233263 args_parse_flag_argument: -x = W
1779959446.233264 args_parse_flags: next -yW
1779959446.233266 args_parse_flag_argument: -y = W
1779959446.233268 args_parse_flags: next -T
1779959446.233270 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1779959446.233272 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1779959446.233274 args_parse: flags end at 6 of 35
1779959446.233276 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1779959446.233278 args_parse: 7 = l (type STRING)
1779959446.233281 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1779959446.233283 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1779959446.233285 args_parse: 10 = r (type STRING)
1779959446.233288 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1779959446.233291 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1779959446.233293 args_parse: 13 = s (type STRING)
1779959446.233295 args_parse: 14 = swap-window (type COMMANDS)
1779959446.233297 args_parse: 15 =  (type STRING)
1779959446.233299 args_parse: 16 = Kill (type STRING)
1779959446.233301 args_parse: 17 = X (type STRING)
1779959446.233304 args_parse: 18 = kill-window (type COMMANDS)
1779959446.233305 args_parse: 19 = Respawn (type STRING)
1779959446.233307 args_parse: 20 = R (type STRING)
1779959446.233310 args_parse: 21 = respawn-window -k (type COMMANDS)
1779959446.233312 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1779959446.233314 args_parse: 23 = m (type STRING)
1779959446.233317 args_parse: 24 = select-pane -m (type COMMANDS)
1779959446.233319 args_parse: 25 = Rename (type STRING)
1779959446.233321 args_parse: 26 = n (type STRING)
1779959446.233326 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1779959446.233328 args_parse: 28 =  (type STRING)
